pdf_filename,relevance,relevance_percentage,author,year,title,journal,country,spatial_coordinates,distance_coast,protected_area,number_of_marine_alien_species,marine_alien_species,respondent,sample_size,type_of_sample,survey_mode,type_of_study,single_site_multiple_site,CVM_elicitation,metrics,year_of_estimate,u_m_estimate,estimate,description,note,additional_estimates,country__evidence,spatial_coordinates__evidence,distance_coast__evidence,protected_area__evidence,number_of_marine_alien_species__evidence,marine_alien_species__evidence,respondent__evidence,sample_size__evidence,type_of_sample__evidence,survey_mode__evidence,type_of_study__evidence,single_site_multiple_site__evidence,year_of_estimate__evidence,u_m_estimate__evidence
020207.pdf,1,25,"Bhosale, P. A.",2025,Modifications in Protein content of Freshwater molluscs bivalve Corbicula Fluminea all through three seasons from kurla dam Tal-Mahad Dist. -Raigad,"International Journal of Research Studies on Environment, Earth, and Allied Sciences (IJRSEAS)",India,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,2022,N/A,N/A,The study investigates the effect of climate change on the protein content of the freshwater bivalve Corbicula Fluminea across different seasons.,N/A,N/A,,,,,,,,,,,,,from 2022 to 23,
02a6820a-971e-4160-8466-50c7a34f09d5.pdf,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"The context discusses the presence and ecological impacts of non-indigenous species (NIS) in the Mediterranean, including some socio-economic implications, but lacks detailed economic valuation methods or analyses related to marine alien species.",N/A,,,,,,,,,,,,,,
1-s2.0-S0025326X25002280-main.pdf,1,75,"Solak-Fiskin, Cemile; Cihan, Mehmet; Gül, Mustafa Remzi",2025,The collective effects of potential drivers on the incidence of non-indigenous species in the Mediterranean: A long-term investigation,Marine Pollution Bulletin,Spain; France; Italy; Greece; Egypt; Israel; Turkey,N/A,N/A,0,N/A,Cassiopea andromeda,divers,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,345,"This study investigates the collective effects of shipping activities, environmental dynamics, and socioeconomic factors on the incidence of non-indigenous species in the Mediterranean Sea.",N/A,N/A,"with Spain, France, Italy, and Greece having the highest number of records. The dominant vector for Egypt, Israel, and Turkey is the Suez Canal",,,,,"A new record of an alien jellyfish from the Levantine coast of Turkey – Cassiopea andromeda (Forsskål, 1775)",75% of the SO network consists of diving centers or clubs,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
1-s2.0-S004896972500871X-main.pdf,1,75,"Kato-Noguchi, H.; Kato, M.",2025,"The Invasive Mechanism and Impact of Arundo donax, One of the World’s 100 Worst Invasive Alien Species",Plants,Japan,N/A,N/A,1,N/A,Cassiopea andromeda,divers,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,345,"The article reviews the invasive mechanisms and impacts of Arundo donax, highlighting its rapid growth, adaptability, and negative effects on ecosystems.",Focuses on the invasive traits and management of A. donax.,[],,,,,,"A new record of an alien jellyfish from the Levantine coast of Turkey – Cassiopea andromeda (Forsskål, 1775)","75% of the SO network consists of diving centers or clubs, which represents a good opportunity for marine citizen science, as divers are considered one of the most committed user groups",,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
1-s2.0-S0141113625002211-main.pdf,1,85,"Piccardi, Filippo; Bortot, Claudio; Brunoni, Luca; Poli, Federica; Guastoni Rosenthal, Gil; Mazzoldi, Carlotta; Barausse, Alberto",2025,"Invasive blue vs. local Green: analysis of substrate preference of two crab species, Callinectes sapidus and Carcinus aestuarii",Marine Environmental Research,Italy; United Kingdom; USA,N/A,N/A,0,2,Callinectes sapidus; Carcinus aestuarii,fisher,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,345,"The study compares habitat preferences of the invasive Atlantic Blue Crab and the native Mediterranean Shore Crab in the Venice Lagoon, highlighting the potential ecological impacts of the invasive species.",N/A,N/A,,,,,,,,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
1-s2.0-S0308597X25003057-main.pdf,1,85,"Chiappi, Marina; Azzurro, Ernesto; Strafella, Pierluigi; Ferrà, Carmen; Luzi, Francesca; Guicciardi, Stefano; Mancinelli, Giorgio; Bonaldo, Alessio; De Marco, Antonina; Fracasso, Beatrice; Mancarella, Sara; Girelli, Chiara Roberta; Fanizzi, Francesco Paolo; Scarcella, Giuseppe",2025,Enhancing scientific knowledge to support the exploitation of invasive Anadara spp. in the Adriatic Sea,Marine Policy,Italy,N/A,N/A,0,2,Anadara kagoshimensis; Anadara transversa,divers,N/A,random,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The study focuses on the economic potential and sustainable management of two invasive bivalves, Anadara kagoshimensis and A. transversa, in the Adriatic Sea.",N/A,N/A,,,,,,,75% of the SO network consists of diving centers or clubs,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
1-s2.0-S0308597X25003197-main.pdf,1,85,"Mendoza, Jimlea Nadezhda; Pruse, Baiba; Mattalia, Giulia; Kochalski, Sophia; Prakofjewa, Julia; Buosi, Alessandro; Ciriaco, Aimee; Primavera, Francesco; Martini, Agnese; Bittner, Maria Viktoria; Soukand, Renata; Sfriso, Adriano",2026,"Impacts of invasive algae from the perspective of fishers in the Lagoon of Venice, Northern Italy",Marine Policy,Italy; Ireland; Spain; Germany; Philippines,N/A,N/A,0,26,Rugulopteryx okamurae,fishers,31,N/A,face to face,costs,0,0,N/A,N/A,N/A,N/A,The study investigates the perceptions of local fishers regarding the impacts of invasive algae on marine resources in the Lagoon of Venice.,N/A,N/A,,,,,,"First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
10.2478_bjir-2025-0013.pdf,1,85,"Meli, Eni; Arapi, Dritan; Sadikaj, Rigerta",2025,Some characteristics of epibiotic macroinvertebrates in Mediterranean mussel (Mytilus galloprovincialis) reared in a mariculture of Butrint Lagoon,Balkan Journal of Interdisciplinary Research,Albania,N/A,N/A,0,1006,Rugulopteryx okamurae,fishers,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,The study analyzes the taxonomic composition and abundance of epibiotic macroinvertebrates associated with Mediterranean mussels cultivated in the Butrint Lagoon.,N/A,0.6 to 2.5 (r) - priors established for A. inaequivalvis; 0.55 to 1.61 (r) - prior range for r reflecting uncertainty,,,,,"At the end of 2020, a total of 1006 NIS have been censused throughout the entire Mediterranean basin","First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",All interviewees were local resource users and fishers engaged in fishing activities,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
11594-Citizen-science.pdf,1,85,"Demetriou, Jakovos; Borowiec, Lech; Georgiadis, Christos; Economo, Evan P.; Roy, Helen E.; Martinou, Angeliki F.; Salata, Sebastian",2025,Citizen-science Supplements Species Inventories and Reveals the Invasion of Monomorium exiguum and Pheidole parva (Hymenoptera: Formicidae) in Cyprus,Sociobiology,Cyprus,N/A,N/A,1,2,Monomorium exiguum; Pheidole parva,students,16,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The study presents the first records of the alien species Monomorium exiguum and Pheidole parva in Cyprus, highlighting the role of citizen science in detecting and mapping species distributions.",N/A,N/A,,,,,,,,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
12994.pdf,1,85,"Manfredi, Alessio; Lorusso, Patrizio; Pandiscia, Annamaria; Bonerba, Elisabetta; Ceci, Edmondo; Bozzo, Giancarlo; Cristofaro, Domenico; Terio, Valentina",2025,Antibiotic residues and heavy metals in blue crabs (Callinectes sapidus) fished in the Mediterranean Sea: a preliminary study,Italian Journal of Food Safety,Italy,N/A,N/A,0,1,Callinectes sapidus,students,18,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,"The study assesses heavy metals and antibiotic residues in the appendage muscle of blue crabs from various Mediterranean sites, highlighting the importance of monitoring these contaminants for food safety.",N/A,N/A,,,,,,,the school’s students and personnel for both their hospitality and participation in this research,,,,,,,
2025.08.13.663855.full.pdf,1,85,"Durieux, Eric Dominique Henri; Le Corre, Klervi; Marchessaux, Guillaume; Veyssiere, Dimitri; Etourneau, Sabrina; Garrido, Marie",2025,Movements and habitat use of the invasive blue crab Callinectes sapidus in a Mediterranean coastal lagoon,bioRxiv,France,N/A,N/A,0,1,Callinectes sapidus,students,31,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,"This study presents the first acoustic telemetry-based assessment of C. sapidus within its invasive range, focusing on movement patterns, activity levels, and habitat preferences in Biguglia Lagoon, Corsica.",N/A,N/A,,,,,,,the school’s students and personnel for both their hospitality and participation in this research,,,,,,,
23232.pdf,1,85,"Xu, Jian; Feng, Guangpeng; Yan, Yunzhi",2025,"Effects of polystyrene nanoplastics and copper on gill tissue structure, metabolism, and immune function of the Chinese mitten crab (Eriocheir sinensis)",Frontiers in Marine Science,China,N/A,N/A,0,1006,Rugulopteryx okamurae,students,240,random,N/A,N/A,0,0,N/A,N/A,N/A,N/A,"This study evaluated the toxicity of nanoplastics and copper on the gill tissues of the Chinese mitten crab, focusing on tissue morphology, metabolism, and immune functions.",N/A,N/A,,,,,"At the end of 2020, a total of 1006 NIS have been censused throughout the entire Mediterranean basin","First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",the school’s students and personnel for both their hospitality and participation in this research,,,,,,,
2502.07095v1.pdf,1,85,"Tiralongo, Francesco; Mancini, Emanuele; Gattelli, Raffaele; Di Pasquale, Costanza; Rossetti, Emanuele; Martellucci, Riccardo; Felici, Alberto; Mancinelli, Giorgio; Mulder, Christian",2023,The devastating economic impact of Callinectes sapidus on the clam fishing in the Po Delta (Italy): striking evidence from novel field data,N/A,Italy,"44.92266N, 12.49370E; 44.85906N, 12.41786E",N/A,0,1,Callinectes sapidus,students,N/A,N/A,N/A,economic study,0,0,N/A,N/A,N/A,N/A,"This study explores the influence of the invasive crab Callinectes sapidus on clam production in the Po Delta, highlighting significant ecological and economic impacts.",N/A,N/A,,,,,,,Students were excited and seemed to enjoy their involvement in the project.,,,,,,,
44552.pdf,1,85,"Cantos-Villar, Emma; Mena-Petite, Amaia; Díez-Navajas, Ana M.; Cretazzo, Enrico; Lacuesta, Maite; Miranda-Apodaca, Jon; Pérez-López, Usue; Córdoba-Granados, Juan José; Cámara, Asier; Bertazzon, Nadia; Zarraonaindia, Iratxe",2025,Rugulopteryx okamurae extract provides protection against Plasmopara viticola,OENO One,Spain; Italy,N/A,N/A,0,1,Rugulopteryx okamurae,students,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The study evaluates the ability of a Rugulopteryx okamurae extract to prevent damage from Plasmopara viticola on two clones of Tempranillo plants, demonstrating its potential as a biostimulant.",N/A,N/A,,,,,,,the school’s students and personnel for both their hospitality and participation in this research,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years.,,,
