pdf_filename,relevance,relevance_percentage,author,year,title,journal,country,spatial coordinates,distance coast,protected area,number of marine alien species,marine alien species,respondent,sample size,type of sample,survey mode,type of study,single site/multiple site,CVM_elicitation,metrics,year of estimate,u.m. estimate,estimate,description,note,country__evidence,spatial coordinates__evidence,distance coast__evidence,protected area__evidence,number of marine alien species__evidence,marine alien species__evidence,respondent__evidence,sample size__evidence,type of sample__evidence,survey mode__evidence,type of study__evidence,single site/multiple site__evidence,year of estimate__evidence,u.m. estimate__evidence
020207.pdf,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"The context provided discusses biochemical studies of freshwater bivalves and does not mention marine invasive alien species, economic valuation, or any related methodologies.",,,,,,,,,,,,,,
02a6820a-971e-4160-8466-50c7a34f09d5.pdf,1,75,Macarena Marambio; Maria Pascual-Torner; Uxue Tilves; Alejandra Pérez; Ainara Ballesteros; Josep-Maria Gili,2025,The westernmost record of the scyphomedusa Cassiopea andromeda in the Mediterranean: marine citizen science contributions to invasive species detection and monitoring,N/A,Spain,N/A,N/A,0,950,Cassiopea andromeda,volunteers,12,N/A,mixed,Research Article,Single site,0,N/A,N/A,N/A,N/A,"This study confirms the first record of Cassiopea andromeda in Spanish Mediterranean waters, representing the westernmost record in the basin.",N/A,,,,,Recent studies have listed over 950 alien species introduced into the Mediterranean (Zenetos et al. 2020),,OdM has a large and highly engaged community of volunteers from different sectors,,,online and in-person training,,,,
1-s2.0-S0025326X25002280-main.pdf,1,85,Cemile Solak-Fiskin; Mehmet Cihan; Mustafa Remzi Gül,2025,The collective effects of potential drivers on the incidence of non-indigenous species in the Mediterranean: A long-term investigation,Marine Pollution Bulletin,Denmark; Turkiye,N/A,N/A,0,1000,Rugulopteryx okamurae; Cassiopea andromeda; Mastigias papua; Phyllorhiza punctata,volunteers,7636,N/A,N/A,Long-term investigation,Multiple site,0,Incidence rate of NIS,2023,N/A,79.3,"This study investigates the collective effects of shipping activities, environmental dynamics, and socioeconomic factors on the incidence of non-indigenous species in the Mediterranean Sea.",Data sets covering the period between 1993 and 2023 were used.,,,,,,"First record of the invasive alien species Rugulopteryx okamurae; Cassiopea andromeda (Forsskål, 1775); Mastigias papua; Phyllorhiza punctata",OdM has a large and highly engaged community of volunteers from different sectors,,,,,,,
1-s2.0-S004896972500871X-main.pdf,1,75,Hisashi Kato-Noguchi; Midori Kato,2025,"The Invasive Mechanism and Impact of Arundo donax, One of the World’s 100 Worst Invasive Alien Species",Plants,Japan,N/A,N/A,1,1000,Rugulopteryx okamurae; Cassiopea andromeda; Mastigias papua; Phyllorhiza punctata,volunteers,N/A,N/A,N/A,Review,1,0,N/A,2023,N/A,N/A,"This review provides an overview of the growth and reproductive capacity of A. donax, and its adaptability to abiotic and biotic stressors. It also discusses the impact of A. donax on abiotic and biotic ecosystem processes.",N/A,,,,,the total number of verified NIS was estimated to be approximately 1000,"First record of the invasive alien species Rugulopteryx okamurae; Cassiopea andromeda (Forsskål, 1775); Mastigias papua; Phyllorhiza punctata",OdM has a large and highly engaged community of volunteers from different sectors,,,,,multiple sites,"the socioeconomic variables including country- specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
1-s2.0-S0141113625002211-main.pdf,1,75,Filippo Piccardi; Claudio Bortot; Luca Brunoni; Federica Poli; Gil Guastoni Rosenthal; Carlotta Mazzoldi; Alberto Barausse,2025,"Invasive blue vs. local Green: analysis of substrate preference of two crab species, Callinectes sapidus and Carcinus aestuarii",Marine Environmental Research,Italy,N/A,N/A,0,1,Callinectes sapidus,divers,12,Sediment samples,N/A,Laboratory experiment,Single site,0,Time spent on each substrate,2023,N/A,N/A,This study compares habitat preference of the invasive Atlantic Blue Crab and the native Mediterranean Shore Crab in the Venice Lagoon.,N/A,,,,,,,"75% of the SO network consists of diving centers or clubs, which represents a good opportunity for marine citizen science, as divers are considered one of the most committed user groups",collecting twelve individuals distributed along the Marina Aguadulce,,,,,"socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
1-s2.0-S0308597X25003057-main.pdf,1,75,Marina Chiappi; Ernesto Azzurro; Pierluigi Strafella; Carmen Ferrà; Francesca Luzi; Stefano Guicciardi; Giorgio Mancinelli; Alessio Bonaldo; Antonina De Marco; Beatrice Fracasso; Sara Mancarella; Chiara Roberta Girelli; Francesco Paolo Fanizzi; Giuseppe Scarcella,2025,Enhancing scientific knowledge to support the exploitation of invasive Anadara spp. in the Adriatic Sea,Marine Policy,Italy,N/A,N/A,0,2,Anadara kagoshimensis; Anadara transversa,fisher,66,randomly selected locations,experimental trawling survey,other,multiple site,0,maximum sustainable yield (MSY),2023,tons,11486.2,This research aims to provide essential scientific knowledge to support the sustainable exploitation of invasive bivalves Anadara kagoshimensis and A. transversa in the Adriatic Sea.,Data was based on a large dataset surveyed annually from 2008 to 2023.,,,,,,,traditionally employed by local fishers targeting flatfishes and economically significant benthic species,,,,"this study collectively investigates shipping activities, environmental dynamics, and socioeconomic factors as causative drivers of NIS incidence in the Mediterranean Sea.",,,
1-s2.0-S0308597X25003197-main.pdf,1,75,Jimlea Nadezhda Mendoza; Baiba Pr¯use; Giulia Mattalia; Sophia Kochalski; Julia Prakofjewa; Alessandro Buosi; Aimee Ciriaco; Francesco Primavera; Agnese Martini; Maria Viktoria Bittner; Renata S˜oukand; Adriano Sfriso,2026,"Impacts of invasive algae from the perspective of fishers in the Lagoon of Venice, Northern Italy",Marine Policy,Italy,N/A,N/A,0,26,Rugulopteryx okamurae; Cassiopea xamachana; Mastigias papua; Phyllorhiza punctata; C. andromeda; R. nomadica; Agardhiella subulata; Chaetomorpha linum; Codium fragile; Dictyopteris polypodioides,local fishers,31,interviews,boat trips and interviews,qualitative,single site,0,N/A,2023,N/A,N/A,"The study documents the perceptions of fishers regarding invasive algae, analyses their narratives, and maps the knowledge components related to the invasive algae in the Lagoon of Venice, Italy.",The study was conducted between February 2022 and April 2024.,,,,,,First record of the invasive alien species Rugulopteryx okamurae; Cassiopea xamachana; Mastigias papua; Phyllorhiza punctata; C. andromeda; R. nomadica; Agardhiella subulata; Chaetomorpha linum; Codium fragile; Dictyopteris polypodioides,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
10.2478_bjir-2025-0013.pdf,1,75,Eni Meli; Dritan Arapi; Rigerta Sadikaj,2025,Some characteristics of epibiotic macroinvertebrates in Mediterranean mussel (Mytilus galloprovincialis) reared in a mariculture of Butrint Lagoon,Balkan Journal of Interdisciplinary Research,Albania,N/A,N/A,0,1000,Rugulopteryx okamurae; Cassiopea xamachana; Mastigias papua; Phyllorhiza punctata; C. andromeda; R. nomadica; Agardhiella subulata; Chaetomorpha linum; Codium fragile; Dictyopteris polypodioides,fisher,N/A,N/A,N/A,Research Article,Single site,0,"Species diversity index (D), numerical abundance (A)",2023,ind/0.1 m²,N/A,"The study provides information on the presence of epibiont fauna in a Mediterranean mussel’s aquaculture situated in the Butrint Lagoon, including aspects of taxonomy, species richness and seasonal as well as spatial dynamic of abundance.",N/A,,,,,the total number of verified NIS was estimated to be approximately 1000,First record of the invasive alien species Rugulopteryx okamurae; Cassiopea xamachana; Mastigias papua; Phyllorhiza punctata; C. andromeda; R. nomadica; Agardhiella subulata; Chaetomorpha linum; Codium fragile; Dictyopteris polypodioides,traditionally employed by local fishers targeting flatfishes,,,,,,,
11594-Citizen-science.pdf,1,75,Jakovos Demetriou; Lech Borowiec; Christos Georgiadis; Evan P. Economo; Helen E. Roy; Angeliki F. Martinou; Sebastian Salata,2025,Citizen-science Supplements Species Inventories and Reveals the Invasion of Monomorium exiguum and Pheidole parva (Hymenoptera: Formicidae) in Cyprus,Sociobiology,Cyprus,N/A,N/A,Akrotiri salt lake and wetland,1000,Rugulopteryx okamurae; Cassiopea xamachana; Mastigias papua; Phyllorhiza punctata; C. andromeda; R. nomadica; Agardhiella subulata; Chaetomorpha linum; Codium fragile; Dictyopteris polypodioides,N/A,16,Citizen science kits,N/A,Field study,Single site,0,N/A,2023,N/A,N/A,"This study presents the first records of the alien M. exiguum and P. parva from Cyprus, highlighting the importance of citizen science in detecting and mapping the distribution of alien and native species.",The study involved students collecting ant specimens in a rural village in Cyprus.,,,,,the total number of verified NIS was estimated to be approximately 1000,First record of the invasive alien species Rugulopteryx okamurae; Cassiopea xamachana; Mastigias papua; Phyllorhiza punctata; C. andromeda; R. nomadica; Agardhiella subulata; Chaetomorpha linum; Codium fragile; Dictyopteris polypodioides,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
12994.pdf,1,75,Alessio Manfredi; Patrizio Lorusso; Annamaria Pandiscia; Elisabetta Bonerba; Edmondo Ceci; Giancarlo Bozzo; Domenico Cristofaro; Valentina Terio,2025,Antibiotic residues and heavy metals in blue crabs (Callinectes sapidus) fished in the Mediterranean Sea: a preliminary study,Italian Journal of Food Safety,Italy,N/A,N/A,0,1000,Callinectes sapidus,N/A,18,blue crab appendage muscle,N/A,preliminary study,multiple site,0,heavy metals and antibiotic residues,2023,mg/kg,0.5,This study assesses heavy metals and antibiotic residues in blue crab samples from various Mediterranean sites.,"Presented at the XXXIII National Conference of the Italian Association of Veterinary Food Hygienists (AIVI), September 2024.",,,,,the total number of verified NIS was estimated to be approximately 1000,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
